customer_id,demographic_slice,country_reg,ad_exp,est_income,hold_bal,pref_cust_prob,imp_cscore,RiskScore,imp_crediteval,axio_score,card_offer
596723,AX03efs,W,N,26323.092375276898,3.0,0.461364316215591,603,505.50906164909895,23.8066878011237,0.351221925580234,False
841834,AX03efs,E,Y,67374.6216540271,17.8610946100002,0.47351673372163705,650,466.158075943051,26.068803366887803,0.0801063297604232,False
402401,AX03efs,E,N,1728.3697126780498,21.6044888368538,0.486220378423186,606,603.346279639912,23.6289551487329,0.20818049697006,False
734431,AX03efs,E,Y,15814.2102605022,22.0584028768007,0.46224906087896794,530,747.1582207031619,22.5339570926947,0.0801218075308093,False
739547,AX03efs,W,Y,45233.588193493,1.0,0.541660078234399,640,704.781193789665,24.298781705952102,0.667269733724187,False
203067,AX03efs,E,Y,76883.6038312868,21.2974789220347,0.0631517256666864,619,708.8636073643961,24.014859450361598,0.783786884723794,False
133388,AX03efs,E,N,50946.9844189703,26.6532236781168,0.580729360348114,584,787.573182004325,24.8959834192148,0.41660880079619295,False
131709,AX03efs,W,N,21721.6491747821,7.0,0.18734372289762502,689,747.99526785209,25.6742554699133,0.9920817386616271,False
310152,AX03efs,W,N,93121.7800952625,2.0,0.805218843605757,505,661.402491787759,21.9234840705923,0.25403681671960504,True
552166,AX03efs,E,Y,30086.0932573769,25.609626802014898,0.270330757002386,530,544.399542055049,22.3186054725249,0.251539220351797,False
362007,AX03efs,W,Y,52663.4866930933,12.0,0.304313748713427,578,603.113778770628,23.0497589776122,0.0552616688716881,False
635393,AX03efs,W,Y,32332.9695700875,11.0,0.222050835599268,618,723.438686366893,25.536005604587302,0.285372519763666,False
221473,AX03efs,E,N,56191.221404880096,20.0742432372481,0.137479876182715,693,633.875379968728,27.0524861675529,0.801284350356908,False
878414,AX03efs,E,N,31926.8094080604,22.6493738422236,0.261685062017965,596,689.9631739248371,24.6318816946522,0.938721427166319,False
290633,AX03efs,W,N,57922.488598755706,7.0,0.0954018362329859,697,651.096769889922,25.438072709921897,0.04634823963391299,False
756772,AX03efs,W,Y,22662.863679228998,11.0,0.505677019376959,641,766.581626661447,25.0701322968968,0.425655683212794,False
955411,AX03efs,W,Y,45318.94940702691,1.0,0.59429043771154,578,688.104825329467,24.4750520331353,0.0504449918654121,False
997239,AX03efs,W,N,22769.5631170531,7.0,0.22635282737349,609,611.596650344425,24.2837011474275,0.44197829232656205,False
43398,AX03efs,E,Y,71804.8371413177,16.645414536389502,1.06021132160696,588,599.287567030367,23.3069429798101,0.16402496861396,True
264349,AX03efs,E,N,67290.3779860771,19.6767305259213,0.419295070682021,631,695.080980346198,24.7241267203182,0.0381175273663827,False
314391,AX03efs,W,Y,26965.992337159103,0.0,0.149395634548514,574,765.982875630324,23.6400551319078,0.9713071188984871,False
714846,AX03efs,E,Y,51653.694609628,20.9088398923335,0.411956123226045,618,896.927613910555,24.8352110895796,0.881618260807218,False
